"cell_id","cell_type"
"W31105","Multipotent progenitors"
"W31106","Monocytes"
"W31107","Erythrocyte"
"W31108","Monocytes"
"W31109","Erythrocyte"
"W31110","Monocytes"
"W31111","Erythrocyte"
"W31113","Erythrocyte"
"W31114","Erythrocyte"
"W31115","Erythrocyte"
"W31116","Erythrocyte"
"W31117","Neutrophils"
"W31118","Monocytes"
"W31119","Basophils"
"W31120","Erythrocyte"
"W31121","Multipotent progenitors"
"W31122","Erythrocyte"
"W31123","Erythrocyte"
"W31124","Erythrocyte"
"W31125","Megakaryocytes"
"W31126","Erythrocyte"
"W31127","GMP"
"W31128","Megakaryocytes"
"W31129","GMP"
"W31130","Monocytes"
"W31131","Neutrophils"
"W31132","Erythrocyte"
"W31133","Basophils"
"W31134","Neutrophils"
"W31136","Erythrocyte"
"W31137","Erythrocyte"
"W31138","Erythrocyte"
"W31139","Erythrocyte"
"W31140","Erythrocyte"
"W31141","Basophils"
"W31142","Erythrocyte"
"W31143","Erythrocyte"
"W31144","Erythrocyte"
"W31145","Monocytes"
"W31146","Erythrocyte"
"W31147","Erythrocyte"
"W31148","Monocytes"
"W31150","Basophils"
"W31151","Erythrocyte"
"W31152","Monocytes"
"W31153","Erythrocyte"
"W31154","Erythrocyte"
"W31155","Multipotent progenitors"
"W31156","Erythrocyte"
"W31157","Basophils"
"W31158","Monocytes"
"W31159","Erythrocyte"
"W31161","Erythrocyte"
"W31162","Erythrocyte"
"W31163","Erythrocyte"
"W31164","Monocytes"
"W31165","Erythrocyte"
"W31166","Basophils"
"W31167","Erythrocyte"
"W31168","Basophils"
"W31169","Basophils"
"W31170","Monocytes"
"W31171","Multipotent progenitors"
"W31172","Multipotent progenitors"
"W31173","Multipotent progenitors"
"W31174","GMP"
"W31175","Basophils"
"W31176","Erythrocyte"
"W31177","Erythrocyte"
"W31178","Erythrocyte"
"W31179","Monocytes"
"W31180","Erythrocyte"
"W31181","Neutrophils"
"W31182","Neutrophils"
"W31183","Erythrocyte"
"W31184","Erythrocyte"
"W31185","Erythrocyte"
"W31186","Basophils"
"W31187","Basophils"
"W31188","GMP"
"W31189","Monocytes"
"W31190","Erythrocyte"
"W31191","Multipotent progenitors"
"W31192","Multipotent progenitors"
"W31193","Erythrocyte"
"W31194","Erythrocyte"
"W31195","Erythrocyte"
"W31196","GMP"
"W31197","GMP"
"W31198","Erythrocyte"
"W31199","Multipotent progenitors"
"W31200","Erythrocyte"
"W31201","Multipotent progenitors"
"W31202","Monocytes"
"W31203","Neutrophils"
"W31204","GMP"
"W31205","Erythrocyte"
"W31206","Erythrocyte"
"W31207","Basophils"
"W31209","Erythrocyte"
"W31210","Monocytes"
"W31211","Monocytes"
"W31212","Erythrocyte"
"W31213","Erythrocyte"
"W31214","Erythrocyte"
"W31215","Erythrocyte"
"W31217","Erythrocyte"
"W31218","Monocytes"
"W31219","GMP"
"W31220","Erythrocyte"
"W31221","Multipotent progenitors"
"W31222","Erythrocyte"
"W31223","GMP"
"W31224","Multipotent progenitors"
"W31225","Erythrocyte"
"W31226","Neutrophils"
"W31228","GMP"
"W31229","Erythrocyte"
"W31230","Erythrocyte"
"W31231","Erythrocyte"
"W31232","Erythrocyte"
"W31233","Erythrocyte"
"W31234","Erythrocyte"
"W31236","Erythrocyte"
"W31237","Monocytes"
"W31238","Erythrocyte"
"W31239","Monocytes"
"W31240","Erythrocyte"
"W31241","Erythrocyte"
"W31242","Neutrophils"
"W31243","Erythrocyte"
"W31244","Basophils"
"W31245","Neutrophils"
"W31246","Erythrocyte"
"W31247","Erythrocyte"
"W31248","Erythrocyte"
"W31249","Monocytes"
"W31250","Erythrocyte"
"W31251","Neutrophils"
"W31252","Monocytes"
"W31253","Monocytes"
"W31254","Basophils"
"W31255","Erythrocyte"
"W31256","Monocytes"
"W31257","Multipotent progenitors"
"W31259","Monocytes"
"W31260","GMP"
"W31262","Erythrocyte"
"W31263","Monocytes"
"W31264","Monocytes"
"W31265","Monocytes"
"W31266","Neutrophils"
"W31267","GMP"
"W31268","Multipotent progenitors"
"W31269","Erythrocyte"
"W31270","Neutrophils"
"W31271","Erythrocyte"
"W31272","Neutrophils"
"W31273","Monocytes"
"W31274","GMP"
"W31275","Neutrophils"
"W31276","Megakaryocytes"
"W31277","Multipotent progenitors"
"W31278","Monocytes"
"W31279","Multipotent progenitors"
"W31280","Erythrocyte"
"W31281","Monocytes"
"W31282","Monocytes"
"W31283","Erythrocyte"
"W31284","Erythrocyte"
"W31285","Monocytes"
"W31286","Monocytes"
"W31287","GMP"
"W31288","Erythrocyte"
"W31289","Erythrocyte"
"W31290","Monocytes"
"W31291","Erythrocyte"
"W31292","Erythrocyte"
"W31293","Monocytes"
"W31294","Erythrocyte"
"W31295","Monocytes"
"W31296","Neutrophils"
"W31297","Megakaryocytes"
"W31298","Erythrocyte"
"W31299","Monocytes"
"W31300","Basophils"
"W31301","Monocytes"
"W31302","Erythrocyte"
"W31303","Erythrocyte"
"W31305","Neutrophils"
"W31306","Monocytes"
"W31307","Basophils"
"W31309","Erythrocyte"
"W31310","Erythrocyte"
"W31311","Basophils"
"W31312","Basophils"
"W31313","Megakaryocytes"
"W31314","Multipotent progenitors"
"W31315","Erythrocyte"
"W31316","Erythrocyte"
"W31317","Erythrocyte"
"W31318","Erythrocyte"
"W31319","Monocytes"
"W31321","Erythrocyte"
"W31322","Erythrocyte"
"W31323","Erythrocyte"
"W31324","Megakaryocytes"
"W31325","Erythrocyte"
"W31326","Erythrocyte"
"W31327","Monocytes"
"W31328","Erythrocyte"
"W31329","Monocytes"
"W31330","Monocytes"
"W31331","Multipotent progenitors"
"W31332","Monocytes"
"W31333","Erythrocyte"
"W31334","Erythrocyte"
"W31335","Basophils"
"W31336","Monocytes"
"W31337","Erythrocyte"
"W31338","Monocytes"
"W31339","Basophils"
"W31340","Erythrocyte"
"W31341","Monocytes"
"W31342","Monocytes"
"W31343","Basophils"
"W31345","Erythrocyte"
"W31346","Erythrocyte"
"W31347","Monocytes"
"W31348","Erythrocyte"
"W31349","Erythrocyte"
"W31350","Neutrophils"
"W31351","Monocytes"
"W31353","Erythrocyte"
"W31354","Neutrophils"
"W31355","Monocytes"
"W31356","Erythrocyte"
"W31357","Erythrocyte"
"W31358","Erythrocyte"
"W31359","Monocytes"
"W31360","Erythrocyte"
"W31361","Neutrophils"
"W31362","Monocytes"
"W31363","Monocytes"
"W31364","Multipotent progenitors"
"W31365","Basophils"
"W31366","Monocytes"
"W31367","Monocytes"
"W31368","Erythrocyte"
"W31369","Erythrocyte"
"W31370","Erythrocyte"
"W31371","Monocytes"
"W31372","Erythrocyte"
"W31373","Basophils"
"W31374","Erythrocyte"
"W31375","Erythrocyte"
"W31376","Basophils"
"W31377","Basophils"
"W31378","Erythrocyte"
"W31379","GMP"
"W31380","Erythrocyte"
"W31381","Basophils"
"W31382","Erythrocyte"
"W31383","GMP"
"W31386","Monocytes"
"W31387","Erythrocyte"
"W31388","GMP"
"W31389","Erythrocyte"
"W31390","Erythrocyte"
"W31391","Erythrocyte"
"W31392","Monocytes"
"W31393","Basophils"
"W31394","Erythrocyte"
"W31395","Monocytes"
"W31396","Neutrophils"
"W31397","Basophils"
"W31398","Monocytes"
"W31399","Monocytes"
"W31401","Erythrocyte"
"W31402","Monocytes"
"W31403","Basophils"
"W31405","Basophils"
"W31406","Erythrocyte"
"W31407","GMP"
"W31409","Monocytes"
"W31410","Erythrocyte"
"W31411","Monocytes"
"W31413","Erythrocyte"
"W31414","Erythrocyte"
"W31415","Erythrocyte"
"W31416","Erythrocyte"
"W31418","Erythrocyte"
"W31419","Erythrocyte"
"W31420","Erythrocyte"
"W31421","Neutrophils"
"W31422","Monocytes"
"W31423","Erythrocyte"
"W31424","Erythrocyte"
"W31425","Monocytes"
"W31426","Erythrocyte"
"W31427","Erythrocyte"
"W31428","Erythrocyte"
"W31429","Erythrocyte"
"W31430","Multipotent progenitors"
"W31431","Erythrocyte"
"W31432","Monocytes"
"W31433","GMP"
"W31434","Erythrocyte"
"W31436","Monocytes"
"W31437","Erythrocyte"
"W31439","GMP"
"W31440","Erythrocyte"
"W31441","Erythrocyte"
"W31442","Erythrocyte"
"W31443","Basophils"
"W31444","Erythrocyte"
"W31446","Erythrocyte"
"W31447","Erythrocyte"
"W31448","Monocytes"
"W31451","Monocytes"
"W31452","Erythrocyte"
"W31453","Erythrocyte"
"W31454","Monocytes"
"W31455","Erythrocyte"
"W31456","Erythrocyte"
"W31457","Basophils"
"W31458","Multipotent progenitors"
"W31459","Neutrophils"
"W31460","Monocytes"
"W31461","Erythrocyte"
"W31462","Erythrocyte"
"W31463","Erythrocyte"
"W31464","Monocytes"
"W31465","Basophils"
"W31466","Monocytes"
"W31467","Erythrocyte"
"W31468","Basophils"
"W31469","Neutrophils"
"W31470","Erythrocyte"
"W31471","Monocytes"
"W31472","Neutrophils"
"W31473","Monocytes"
"W31474","Neutrophils"
"W31475","Monocytes"
"W31476","Megakaryocytes"
"W31477","GMP"
"W31478","Monocytes"
"W31479","Erythrocyte"
"W31480","Multipotent progenitors"
"W31481","Erythrocyte"
"W31483","Monocytes"
"W31484","Basophils"
"W31485","Erythrocyte"
"W31486","Erythrocyte"
"W31487","Monocytes"
"W31489","Monocytes"
"W31491","GMP"
"W31492","Erythrocyte"
"W31493","GMP"
"W31494","Basophils"
"W31495","GMP"
"W31497","Multipotent progenitors"
"W31498","GMP"
"W31499","Erythrocyte"
"W31500","Erythrocyte"
"W31501","Monocytes"
"W31502","GMP"
"W31503","Monocytes"
"W31504","Basophils"
"W31505","Multipotent progenitors"
"W31506","Erythrocyte"
"W31507","Multipotent progenitors"
"W31508","Erythrocyte"
"W31509","Monocytes"
"W31510","Basophils"
"W31511","GMP"
"W31512","Multipotent progenitors"
"W31513","Erythrocyte"
"W31514","Multipotent progenitors"
"W31515","Basophils"
"W31516","Erythrocyte"
"W31517","Monocytes"
"W31518","Basophils"
"W31519","GMP"
"W31520","GMP"
"W31521","Erythrocyte"
"W31522","Basophils"
"W31523","Erythrocyte"
"W31524","Basophils"
"W31525","Erythrocyte"
"W31526","Erythrocyte"
"W31527","Erythrocyte"
"W31528","Basophils"
"W31529","Erythrocyte"
"W31530","Basophils"
"W31532","Monocytes"
"W31533","GMP"
"W31534","Megakaryocytes"
"W31535","GMP"
"W31536","Erythrocyte"
"W31537","Basophils"
"W31538","Monocytes"
"W31539","Basophils"
"W31540","Monocytes"
"W31541","Erythrocyte"
"W31542","Monocytes"
"W31543","Erythrocyte"
"W31544","Basophils"
"W31545","Basophils"
"W31546","Neutrophils"
"W31548","Basophils"
"W31549","Basophils"
"W31550","Erythrocyte"
"W31551","Erythrocyte"
"W31552","Monocytes"
"W31553","Multipotent progenitors"
"W31554","Erythrocyte"
"W31555","Erythrocyte"
"W31556","Basophils"
"W31558","Monocytes"
"W31559","Monocytes"
"W31560","Erythrocyte"
"W31562","Basophils"
"W31563","Erythrocyte"
"W31564","Monocytes"
"W31565","Erythrocyte"
"W31566","Basophils"
"W31567","Basophils"
"W31568","Monocytes"
"W31569","Multipotent progenitors"
"W31570","Multipotent progenitors"
"W31571","Monocytes"
"W31572","Erythrocyte"
"W31573","Erythrocyte"
"W31575","Erythrocyte"
"W31576","Erythrocyte"
"W31577","Monocytes"
"W31578","Erythrocyte"
"W31580","Basophils"
"W31581","GMP"
"W31583","Basophils"
"W31586","Erythrocyte"
"W31587","Multipotent progenitors"
"W31588","Monocytes"
"W31590","Basophils"
"W31591","Basophils"
"W31593","Erythrocyte"
"W31594","Erythrocyte"
"W31595","Monocytes"
"W31596","Neutrophils"
"W31597","Basophils"
"W31598","Erythrocyte"
"W31599","Monocytes"
"W31600","Neutrophils"
"W31601","Monocytes"
"W31602","Basophils"
"W31603","Neutrophils"
"W31604","Erythrocyte"
"W31605","Erythrocyte"
"W31606","Monocytes"
"W31607","GMP"
"W31608","Basophils"
"W31609","Monocytes"
"W31611","Basophils"
"W31613","Erythrocyte"
"W31614","Multipotent progenitors"
"W31615","Basophils"
"W31617","Monocytes"
"W31618","Erythrocyte"
"W31620","Basophils"
"W31621","GMP"
"W31622","Monocytes"
"W31623","Monocytes"
"W31624","Monocytes"
"W31625","Monocytes"
"W31626","Erythrocyte"
"W31628","Neutrophils"
"W31629","Erythrocyte"
"W31630","Monocytes"
"W31631","Basophils"
"W31632","Monocytes"
"W31634","Erythrocyte"
"W31635","Erythrocyte"
"W31636","Erythrocyte"
"W31638","Basophils"
"W31639","Basophils"
"W31640","Erythrocyte"
"W31641","Erythrocyte"
"W31642","GMP"
"W31644","Monocytes"
"W31645","Multipotent progenitors"
"W31646","Monocytes"
"W31648","Neutrophils"
"W31649","Erythrocyte"
"W31650","Erythrocyte"
"W31651","GMP"
"W31652","Megakaryocytes"
"W31653","Erythrocyte"
"W31654","Erythrocyte"
"W31655","Basophils"
"W31656","Basophils"
"W31657","Basophils"
"W31658","Multipotent progenitors"
"W31659","Multipotent progenitors"
"W31660","Basophils"
"W31661","Erythrocyte"
"W31662","Erythrocyte"
"W31663","Neutrophils"
"W31664","Monocytes"
"W31665","Basophils"
"W31666","Erythrocyte"
"W31667","Monocytes"
"W31668","Erythrocyte"
"W31669","Multipotent progenitors"
"W31670","GMP"
"W31674","Monocytes"
"W31676","Erythrocyte"
"W31678","Monocytes"
"W31681","Basophils"
"W31682","GMP"
"W31683","Monocytes"
"W31684","Neutrophils"
"W31685","Multipotent progenitors"
"W31686","Neutrophils"
"W31687","Basophils"
"W31689","Erythrocyte"
"W31690","Monocytes"
"W31691","Erythrocyte"
"W31692","Multipotent progenitors"
"W31693","Megakaryocytes"
"W31695","Erythrocyte"
"W31696","Basophils"
"W31697","GMP"
"W31698","Erythrocyte"
"W31699","Erythrocyte"
"W31700","Erythrocyte"
"W31701","Neutrophils"
"W31702","Monocytes"
"W31703","Neutrophils"
"W31704","Erythrocyte"
"W31705","Monocytes"
"W31706","Erythrocyte"
"W31707","Monocytes"
"W31708","Monocytes"
"W31711","Monocytes"
"W31712","Basophils"
"W31713","Monocytes"
"W31714","Basophils"
"W31715","Neutrophils"
"W31716","Monocytes"
"W31717","Erythrocyte"
"W31718","Erythrocyte"
"W31719","Erythrocyte"
"W31720","Erythrocyte"
"W31721","Monocytes"
"W31722","GMP"
"W31723","Erythrocyte"
"W31724","GMP"
"W31725","Multipotent progenitors"
"W31726","Monocytes"
"W31727","Basophils"
"W31728","Erythrocyte"
"W31729","Monocytes"
"W31730","Monocytes"
"W31731","Erythrocyte"
"W31732","Basophils"
"W31733","Monocytes"
"W31734","Monocytes"
"W31735","Erythrocyte"
"W31736","Erythrocyte"
"W31737","Basophils"
"W31738","GMP"
"W31739","Monocytes"
"W31740","Neutrophils"
"W31741","GMP"
"W31742","Erythrocyte"
"W31743","Monocytes"
"W31744","Basophils"
"W31745","GMP"
"W31746","Basophils"
"W31748","Neutrophils"
"W31749","GMP"
"W31750","Basophils"
"W31751","Neutrophils"
"W31752","Erythrocyte"
"W31755","Erythrocyte"
"W31756","GMP"
"W31758","Basophils"
"W31760","Monocytes"
"W31761","Erythrocyte"
"W31762","Basophils"
"W31764","Basophils"
"W31765","Basophils"
"W31767","Basophils"
"W31768","Erythrocyte"
"W31771","Basophils"
"W31773","GMP"
"W31775","Erythrocyte"
"W31777","Erythrocyte"
"W31778","Erythrocyte"
"W31779","Erythrocyte"
"W31780","Erythrocyte"
"W31781","Erythrocyte"
"W31782","Basophils"
"W31783","Erythrocyte"
"W31785","Monocytes"
"W31786","Erythrocyte"
"W31787","GMP"
"W31788","Erythrocyte"
"W31789","Basophils"
"W31791","GMP"
"W31792","GMP"
"W31793","Basophils"
"W31794","Neutrophils"
"W31795","Erythrocyte"
"W31796","Multipotent progenitors"
"W31797","Erythrocyte"
"W31798","Monocytes"
"W31799","Monocytes"
"W31801","Basophils"
"W31802","Basophils"
"W31803","Erythrocyte"
"W31804","Basophils"
"W31805","Multipotent progenitors"
"W31806","Erythrocyte"
"W31807","Basophils"
"W31808","Monocytes"
"W31809","Basophils"
"W31811","Neutrophils"
"W31812","Basophils"
"W31813","Monocytes"
"W31814","Erythrocyte"
"W31816","Basophils"
"W31817","Basophils"
"W31818","Erythrocyte"
"W31819","Erythrocyte"
"W31820","Neutrophils"
"W31821","Monocytes"
"W31822","GMP"
"W31823","Neutrophils"
"W31824","Basophils"
"W31825","GMP"
"W31826","Neutrophils"
"W31827","Erythrocyte"
"W31828","Monocytes"
"W31829","Basophils"
"W31830","GMP"
"W31831","Erythrocyte"
"W31832","Erythrocyte"
"W31834","Erythrocyte"
"W31835","Erythrocyte"
"W31836","Basophils"
"W31837","Monocytes"
"W31838","Erythrocyte"
"W31839","Erythrocyte"
"W31840","Neutrophils"
"W31841","Erythrocyte"
"W31842","Basophils"
"W31845","Monocytes"
"W31846","Erythrocyte"
"W31847","Erythrocyte"
"W31849","Erythrocyte"
"W31850","Erythrocyte"
"W31851","Erythrocyte"
"W31854","GMP"
"W31855","Erythrocyte"
"W31856","Basophils"
"W31857","Basophils"
"W31858","Erythrocyte"
"W31859","Basophils"
"W31860","Basophils"
"W31861","Monocytes"
"W31864","Basophils"
"W31865","Basophils"
"W31866","Basophils"
"W31868","Basophils"
"W31870","GMP"
"W31871","Monocytes"
"W31872","Basophils"
"W36865","Multipotent progenitors"
"W36866","Basophils"
"W36867","GMP"
"W36868","Monocytes"
"W36869","Erythrocyte"
"W36871","Erythrocyte"
"W36873","Basophils"
"W36874","Basophils"
"W36875","Monocytes"
"W36876","Erythrocyte"
"W36877","Basophils"
"W36878","Erythrocyte"
"W36879","Monocytes"
"W36881","Erythrocyte"
"W36882","Erythrocyte"
"W36883","Erythrocyte"
"W36885","Monocytes"
"W36886","Basophils"
"W36887","Multipotent progenitors"
"W36889","Erythrocyte"
"W36890","Megakaryocytes"
"W36891","Monocytes"
"W36892","Monocytes"
"W36893","Megakaryocytes"
"W36894","Erythrocyte"
"W36895","Monocytes"
"W36897","Erythrocyte"
"W36898","Erythrocyte"
"W36899","GMP"
"W36900","Erythrocyte"
"W36901","Erythrocyte"
"W36902","Erythrocyte"
"W36903","Monocytes"
"W36905","Erythrocyte"
"W36906","Erythrocyte"
"W36907","Monocytes"
"W36908","Neutrophils"
"W36909","GMP"
"W36910","Neutrophils"
"W36911","Monocytes"
"W36912","GMP"
"W36913","Erythrocyte"
"W36914","Monocytes"
"W36915","Megakaryocytes"
"W36916","Monocytes"
"W36917","Monocytes"
"W36918","Neutrophils"
"W36919","Erythrocyte"
"W36920","Monocytes"
"W36921","Neutrophils"
"W36922","Erythrocyte"
"W36923","Erythrocyte"
"W36924","Basophils"
"W36925","Monocytes"
"W36926","Basophils"
"W36927","Erythrocyte"
"W36928","Basophils"
"W36929","Multipotent progenitors"
"W36930","Monocytes"
"W36931","Erythrocyte"
"W36932","Neutrophils"
"W36933","Monocytes"
"W36934","Basophils"
"W36935","Erythrocyte"
"W36936","Basophils"
"W36939","Monocytes"
"W36940","Neutrophils"
"W36941","Monocytes"
"W36942","Monocytes"
"W36943","Erythrocyte"
"W36944","Erythrocyte"
"W36945","Erythrocyte"
"W36946","Basophils"
"W36947","Monocytes"
"W36948","Neutrophils"
"W36949","Erythrocyte"
"W36950","Erythrocyte"
"W36951","Erythrocyte"
"W36952","Erythrocyte"
"W36953","Erythrocyte"
"W36954","Erythrocyte"
"W36955","Basophils"
"W36956","Monocytes"
"W36957","Monocytes"
"W36958","Neutrophils"
"W36959","Erythrocyte"
"W36960","Erythrocyte"
"W36961","Monocytes"
"W36962","Monocytes"
"W36963","Monocytes"
"W36964","Basophils"
"W36966","Monocytes"
"W36967","Erythrocyte"
"W36969","Megakaryocytes"
"W36970","Monocytes"
"W36971","Monocytes"
"W36972","GMP"
"W36973","GMP"
"W36974","Erythrocyte"
"W36975","Monocytes"
"W36976","Erythrocyte"
"W36978","Erythrocyte"
"W36979","Monocytes"
"W36980","Monocytes"
"W36981","Megakaryocytes"
"W36982","Basophils"
"W36983","Erythrocyte"
"W36984","Basophils"
"W36985","Erythrocyte"
"W36987","Basophils"
"W36990","Monocytes"
"W36991","Basophils"
"W36992","Erythrocyte"
"W36993","Erythrocyte"
"W36994","Neutrophils"
"W36995","Erythrocyte"
"W36996","Erythrocyte"
"W36997","Erythrocyte"
"W36998","Erythrocyte"
"W36999","GMP"
"W37000","Basophils"
"W37001","Basophils"
"W37003","Megakaryocytes"
"W37004","Neutrophils"
"W37005","Basophils"
"W37006","Multipotent progenitors"
"W37008","Erythrocyte"
"W37009","Basophils"
"W37010","Erythrocyte"
"W37011","Erythrocyte"
"W37012","Monocytes"
"W37013","Neutrophils"
"W37014","Erythrocyte"
"W37015","Basophils"
"W37016","Monocytes"
"W37017","Erythrocyte"
"W37018","Erythrocyte"
"W37019","Erythrocyte"
"W37020","Erythrocyte"
"W37022","Megakaryocytes"
"W37023","Erythrocyte"
"W37024","Erythrocyte"
"W37025","Monocytes"
"W37026","Neutrophils"
"W37027","Erythrocyte"
"W37028","Basophils"
"W37029","Multipotent progenitors"
"W37030","Erythrocyte"
"W37031","Erythrocyte"
"W37032","Basophils"
"W37034","Megakaryocytes"
"W37035","Erythrocyte"
"W37036","Erythrocyte"
"W37037","Erythrocyte"
"W37039","Erythrocyte"
"W37040","Monocytes"
"W37041","Erythrocyte"
"W37042","Erythrocyte"
"W37043","Monocytes"
"W37044","Monocytes"
"W37045","Basophils"
"W37046","Monocytes"
"W37047","Monocytes"
"W37048","Monocytes"
"W37049","Erythrocyte"
"W37050","Multipotent progenitors"
"W37051","Erythrocyte"
"W37052","Erythrocyte"
"W37053","Multipotent progenitors"
"W37054","Erythrocyte"
"W37055","Monocytes"
"W37056","Erythrocyte"
"W37057","Monocytes"
"W37058","Basophils"
"W37059","Erythrocyte"
"W37060","Basophils"
"W37061","Erythrocyte"
"W37063","GMP"
"W37065","Erythrocyte"
"W37066","Erythrocyte"
"W37067","Erythrocyte"
"W37068","Erythrocyte"
"W37069","Basophils"
"W37070","GMP"
"W37072","Multipotent progenitors"
"W37073","Monocytes"
"W37074","Basophils"
"W37075","Basophils"
"W37077","GMP"
"W37078","GMP"
"W37079","Erythrocyte"
"W37080","Neutrophils"
"W37081","Monocytes"
"W37082","Monocytes"
"W37083","Erythrocyte"
"W37084","Erythrocyte"
"W37085","Basophils"
"W37086","Erythrocyte"
"W37087","Erythrocyte"
"W37088","Erythrocyte"
"W37089","Neutrophils"
"W37090","GMP"
"W37091","GMP"
"W37092","Basophils"
"W37093","Multipotent progenitors"
"W37094","Neutrophils"
"W37095","Erythrocyte"
"W37096","Basophils"
"W37097","Neutrophils"
"W37098","Monocytes"
"W37099","Erythrocyte"
